HAI , 'Bali ___'
ONLY , 'For Your Eyes ___'
LOOS , 'Gentlemen Prefer Blondes' writer Anita
TENNYSON , 'Ulysses' poet
SAX , 'Wailing' instrument
AINT , '___ it the truth!'
MARK , '___ my words'
PUTTINONTHERITZ , 1929 Irving Berlin song
SINGININTHERAIN , 1952 Gene Kelly classic
BLOWININTHEWIND , 1963 Peter, Paul and Mary hit
TRU , 1990 one-man Broadway show
ETNA , 2001 erupter
ATHENS , 2004 Olympics site
ILL , Ailing
LADD , Alan of 'Shane'
IDO , Altar vow
ALPS , Austrian peaks
FAWNS , Baby deer
LIMA , Capital of Peru
SYNOD , Church council
OHIO , Cincinnati's home
STAYS , Death row reprieves
NANA , Émile Zola novel
TGIF , End-of-the-week cry
TRINE , Father, Son and Holy Ghost
ACTION , Film director's cry
ENERO , First month on a calendario
HEDGEHOP , Fly a crop duster
GLIDE , Fly without an engine
SEWUP , Gain a monopoly over
EVADED , Got around
ENOS , Grandson of Eve
STAR , Headliner
FOGS , Heavy mists
BIBLE , Holy book
IONA , Inner Hebrides island
TSAR , Ivan or Nicholas
DDAY , June 6, 1944
DIANES , Keaton and Sawyer
ESTATE , Kind of sale
SLAY , Knock 'em dead
THETA , Letter before 29-Down
IOTA , Letter before kappa
WAS , Lived
EATIT , Lose ignominiously, in slang
STPAT , March 17 honoree, for short
ORES , Metallic rocks
TITLE , Name
LOUT , Oaf
DIAL , Obsolescent phone feature
LTD , Old Ford
EZRA , Old Testament book
ENYA , One-named New Age singer
ASAP , P.D.Q.
ISTHMI , Panama and others
ERA , Pitcher's stat.
DOGIE , Ponderosa stray
ALES , Pub pints
EXERT , Put out, as effort
ALI , Remodeled Clay?
SLOMO , Replay feature
DIVE , Ring fix?
NAPE , Scruff
PENAL , Serving to punish
ENNA , Sicilian resort
SOSA , Slugger Sammy
ONAIR , Studio sign
BASEHIT , This could raise a pitcher's 51-Across
TERSE , To the point
ALLIN , Tuckered out
AARON , Vice President Burr
STYLE , Vogue
CHIC , Voguish
FOR , Voting yes
ENTERED , Walked in
KNEW , Was in on
SCAD , Whole bunch
RISE , ___ and shine
